AirportName,DateValue,OnTimePerCent,TotalArrivals
"Phoenix, AZ: Phoenix Sky Harbor International",8/1/15,82.37025686,13704
"Phoenix, AZ: Phoenix Sky Harbor International",9/1/15,89.2391684,12025
"Phoenix, AZ: Phoenix Sky Harbor International",10/1/15,87.37248685,12932
"Phoenix, AZ: Phoenix Sky Harbor International",11/1/15,84.12736414,12531
"Phoenix, AZ: Phoenix Sky Harbor International",12/1/15,78.70558642,13318
"Los Angeles, CA: Los Angeles International",1/1/12,85.67107846,17831
"Los Angeles, CA: Los Angeles International",2/1/12,86.00212716,16924
"Los Angeles, CA: Los Angeles International",3/1/12,81.64582236,18982
"Los Angeles, CA: Los Angeles International",4/1/12,83.94518364,18188
"Los Angeles, CA: Los Angeles International",5/1/12,85.66163851,18761
"Los Angeles, CA: Los Angeles International",6/1/12,79.75551888,19388
"Los Angeles, CA: Los Angeles International",7/1/12,78.86544973,20379
"Los Angeles, CA: Los Angeles International",8/1/12,80.7554175,20120
"Los Angeles, CA: Los Angeles International",9/1/12,81.02651977,18062
"Los Angeles, CA: Los Angeles International",10/1/12,74.92596387,18545
"Los Angeles, CA: Los Angeles International",11/1/12,83.0714367,17568
"Los Angeles, CA: Los Angeles International",12/1/12,72.9927915,18173
"Los Angeles, CA: Los Angeles International",1/1/13,84.435709,17553
"Los Angeles, CA: Los Angeles International",2/1/13,83.61845558,16006
"Los Angeles, CA: Los Angeles International",3/1/13,81.90193541,18549
"Los Angeles, CA: Los Angeles International",4/1/13,78.29641194,18255
"Los Angeles, CA: Los Angeles International",5/1/13,82.02996746,19054
"Los Angeles, CA: Los Angeles International",6/1/13,74.07403851,19787
"Los Angeles, CA: Los Angeles International",7/1/13,75.80435724,20793
"Los Angeles, CA: Los Angeles International",8/1/13,77.49211016,20406
"Los Angeles, CA: Los Angeles International",9/1/13,82.74051115,18390
"Los Angeles, CA: Los Angeles International",10/1/13,81.78835811,18966
"Los Angeles, CA: Los Angeles International",11/1/13,82.48494612,18002
"Los Angeles, CA: Los Angeles International",12/1/13,72.92224554,19060
"Los Angeles, CA: Los Angeles International",1/1/14,75.50064956,18474
"Los Angeles, CA: Los Angeles International",2/1/14,70.18121981,16560
"Los Angeles, CA: Los Angeles International",3/1/14,77.3877251,19047
